phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.2021285486406299,-0.5173854573345384,0.12915898932538064,535,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0015211266436242488,,,535,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.389931817762573,-0.23047642944559107,1.0535660546652579,370,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0034855398967775786,,,370,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.17958197918353846,-0.6519446795675343,0.29980795810254746,481,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.001674567739005428,,,481,NULL,
phase1,QB,passing_yards,2024,rmse_delta,-0.06645093344413056,-0.47099368944471004,0.3282835250567498,562,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0023061408200049094,,,562,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.014359354710236971,-0.18547636989265398,0.16804892906295735,1948,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0015211266436242488,,,1948,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.003131626769419471,-0.002790795213629754,0.008875751289203976,535,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,-0.0019011561521370401,,,535,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.007889618429623102,-0.0010645424109814144,0.01613778601843755,370,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,-0.002835533151302916,,,370,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.00016193310753531698,-0.003924840614584968,0.0045002697787868305,481,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0005366848505929944,,,481,NULL,
phase1,QB,passing_tds,2024,rmse_delta,0.0028480246648767693,-0.0005151119981478047,0.006025187222513112,562,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0005169136579900035,,,562,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0016249921468562967,-0.0015036015017477534,0.004855653294089262,1948,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,-0.0019011561521370401,,,1948,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.00010857226170424283,-0.0029787078350443086,0.0034690262292458468,535,NULL,
phase1,QB,interceptions,2021,r_squared_delta,-0.0014263787483409507,,,535,NULL,
phase1,QB,interceptions,2022,rmse_delta,-0.0006051690623489758,-0.0038343703418134757,0.0024386289975191562,370,NULL,
phase1,QB,interceptions,2022,r_squared_delta,-0.0006269906218521193,,,370,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.000756261157729865,-0.00085652977554041,0.0024884979667269902,481,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0013509943226499566,,,481,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.00016646380473539502,-0.0019609770704958978,0.0014829855669679772,562,NULL,
phase1,QB,interceptions,2024,r_squared_delta,-0.0012564729091779636,,,562,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-0.0006385492328010445,-0.002182428912633194,0.0011114745421197975,1948,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,-0.0014263787483409507,,,1948,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.014414511822234743,-0.06506391605859405,0.09533273626072586,535,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.0010153740766550845,,,535,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.00640836930109856,-0.08570477535196587,0.06446645412896847,370,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.0011646844017528801,,,370,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,0.01963161450575157,-0.03485931269356972,0.07476766133361584,481,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0022193492820495875,,,481,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,0.057879820089628,0.011797946099760193,0.10697963094894271,562,REGRESSION,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0018062068328164038,,,562,REGRESSION,
phase1,QB,rushing_yards,pooled,rmse_delta,-0.0018463114059095176,-0.04042599105623834,0.03880512626221346,1948,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.0010153740766550845,,,1948,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,-0.00031737516514684927,-0.0009765869899745622,0.00025361530644354285,535,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.0013791065558310667,,,535,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,0.000800605241318586,-0.00029728918797902455,0.001792063786931047,370,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0023082971903281013,,,370,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.00022543049908740898,-0.0005226727580946875,0.00010012224966852987,481,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.0006016627628598892,,,481,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,-0.00014105669135416887,-0.0009722167410573301,0.000698196950763119,562,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.0019959870162541415,,,562,NULL,
